Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
0,0,"['DQN', 'R1', 'R2', 'R3']",SYSTEM,START_EXPERIMENT,,,,,,,,,,
0,0,,SYSTEM,DEAL_CARDS,,,"[[5, 6, 6, 7, 7, 7, 9, 9, 10, 10, 11, 11, 11, 11, 11, 11, 12], [1, 2, 4, 4, 5, 5, 6, 7, 7, 8, 9, 9, 9, 10, 10, 11, 11], [3, 3, 3, 4, 6, 6, 7, 8, 9, 9, 10, 10, 10, 10, 10, 11, 11], [2, 4, 5, 5, 6, 7, 8, 8, 8, 8, 8, 8, 9, 9, 10, 11, 12]]",,,,,,,
1,0,,SYSTEM,NEW_MATCH,,,,,,,"{'DQN': None, 'R1': None, 'R2': None, 'R3': None}",,"{'DQN': 0, 'R1': 0, 'R2': 0, 'R3': 0}",
1,1,,R3,DISCARD,C11;Q1;J1,0.0,[ 2.  4.  5.  5.  6.  7.  8.  8.  8.  8.  8.  8.  9.  9. 10.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C11;Q1;J0', 'C11;Q1;J1']",,,,
1,1,,DQN,DISCARD,C6;Q2;J1,0.0,[ 5.  7.  7.  7.  9.  9. 10. 10. 11. 11. 11. 11. 11. 11.  0.  0.  0.],[11. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 6.  6. 12.  0.  0.  0.  0.  0.  0.  0.  0.],"['C6;Q2;J0', 'C6;Q2;J1', 'C7;Q2;J0', 'C7;Q2;J1', 'C7;Q3;J0', 'C7;Q3;J1', 'C9;Q2;J0', 'C9;Q2;J1', 'C10;Q2;J0', 'C10;Q2;J1', 'pass']",,,,
1,1,,R1,DISCARD,pass,0.0,[ 1.  2.  4.  4.  5.  5.  6.  7.  7.  8.  9.  9.  9. 10. 10. 11. 11.],[ 6.  6. 12.  0.  0.  0.  0.  0.  0.  0.  0.],[ 6.  6. 12.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,1,,R2,DISCARD,C3;Q3;J0,0.0,[ 4.  6.  6.  7.  8.  9.  9. 10. 10. 10. 10. 10. 11. 11.  0.  0.  0.],[ 6.  6. 12.  0.  0.  0.  0.  0.  0.  0.  0.],[3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q3;J0', 'pass']",,,,
1,1,,R3,DISCARD,pass,0.0,[ 2.  4.  5.  5.  6.  7.  8.  8.  8.  8.  8.  8.  9.  9. 10.  0.  0.],[3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,1,,DQN,DISCARD,pass,0.0,[ 5.  7.  7.  7.  9.  9. 10. 10. 11. 11. 11. 11. 11. 11.  0.  0.  0.],[3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,R2,DECLARE_PIZZA,,,,,,,,,,
