Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
0,0,"['DQN', 'GEN_OPP', 'R1', 'R2']",SYSTEM,START_EXPERIMENT,,,,,,,,,,
0,0,,SYSTEM,DEAL_CARDS,,,"[[3, 3, 4, 5, 5, 6, 7, 8, 8, 9, 9, 9, 10, 10, 10, 11, 12], [2, 5, 6, 7, 7, 8, 8, 8, 8, 9, 9, 9, 10, 10, 11, 11, 11], [3, 4, 4, 4, 6, 6, 6, 7, 7, 7, 9, 9, 10, 11, 11, 11, 11], [1, 2, 5, 5, 6, 7, 8, 8, 9, 10, 10, 10, 10, 11, 11, 11, 12]]",,,,,,,
1,0,,SYSTEM,NEW_MATCH,,,,,,,"{'DQN': None, 'GEN_OPP': None, 'R1': None, 'R2': None}",,"{'DQN': 0, 'GEN_OPP': 0, 'R1': 0, 'R2': 0}",
1,1,,R2,DISCARD,C11;Q2;J1,0.0,[ 1.  2.  5.  5.  6.  7.  8.  8.  9. 10. 10. 10. 10. 11.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 12.  0.  0.  0.  0.  0.  0.  0.  0.],"['C11;Q1;J0', 'C11;Q1;J1', 'C11;Q2;J0', 'C11;Q2;J1', 'C11;Q3;J0', 'C11;Q3;J1']",,,,
1,1,,DQN,DISCARD,C9;Q3;J1,0.0,[ 3.  3.  4.  5.  5.  6.  7.  8.  8. 10. 10. 10. 11.  0.  0.  0.  0.],[11. 11. 12.  0.  0.  0.  0.  0.  0.  0.  0.],[ 9.  9.  9. 12.  0.  0.  0.  0.  0.  0.  0.],"['C9;Q3;J0', 'C9;Q3;J1', 'C10;Q3;J0', 'C10;Q3;J1', 'pass']",,,,
1,1,,GEN_OPP,DISCARD,pass,0.0,[ 2.  5.  6.  7.  7.  8.  8.  8.  8.  9.  9.  9. 10. 10. 11. 11. 11.],[ 9.  9.  9. 12.  0.  0.  0.  0.  0.  0.  0.],[ 9.  9.  9. 12.  0.  0.  0.  0.  0.  0.  0.],"['C8;Q4;J0', 'pass']",,,,
1,1,,R1,DISCARD,pass,0.0,[ 3.  4.  4.  4.  6.  6.  6.  7.  7.  7.  9.  9. 10. 11. 11. 11. 11.],[ 9.  9.  9. 12.  0.  0.  0.  0.  0.  0.  0.],[ 9.  9.  9. 12.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,1,,R2,DISCARD,pass,0.0,[ 1.  2.  5.  5.  6.  7.  8.  8.  9. 10. 10. 10. 10. 11.  0.  0.  0.],[ 9.  9.  9. 12.  0.  0.  0.  0.  0.  0.  0.],[ 9.  9.  9. 12.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,,,DQN,DECLARE_PIZZA,,,,,,,,,,
1,2,,DQN,DISCARD,C3;Q2;J0,0.0,[ 4.  5.  5.  6.  7.  8.  8. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q1;J0', 'C3;Q2;J0', 'C4;Q1;J0', 'C5;Q1;J0', 'C5;Q2;J0', 'C6;Q1;J0', 'C7;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C11;Q1;J0', 'pass']",,,,
1,2,,GEN_OPP,DISCARD,pass,0.0,[ 2.  5.  6.  7.  7.  8.  8.  8.  8.  9.  9.  9. 10. 10. 11. 11. 11.],[3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
